All Dependencies for Puppet
Package Title,Version,Authors,Description,Declared License,Discovered License(s),Package Manager,Package Homepage,
"net-ssh",2.9.4,"Jamis Buck, Delano Mandelbaum, Miklós Fazekas","Net::SSH: a pure-Ruby implementation of the SSH2 client protocol. It allows you to write programs that invoke and interact with processes on remote servers, via SSH2.","MIT","LGPL-2.1-only; LGPL-2.1-only",RubyGem,"https://github.com/net-ssh/net-ssh",
"beaker-pe",0.12.2,"Puppetlabs","Puppet Enterprise (PE) Install &amp; Helper library","Apache-2.0","",RubyGem,"https://github.com/puppetlabs/beaker-pe",
"public_suffix",1.4.6,"Simone Carletti","PublicSuffix can parse and decompose a domain name into top level domain, domain and subdomains.","MIT","MPL-2.0",RubyGem,"https://simonecarletti.com/code/publicsuffix-ruby",
"inifile",2.0.2,"Tim Pease","Although made popular by Windows, INI files can be used on any system thanks
to their flexibility. They allow a program to store configuration data, which
can then be easily parsed and changed. Two notable systems that use the INI
format are Samba and Trac.

More information about INI files can be found on the [Wikipedia Page](http://en.wikipedia.org/wiki/INI_file).

### Properties

The basic element contained in an INI file is the property. Every property has
a name and a value, delimited by an equals sign *=*. The name appears to the
left of the equals sign and the value to the right.

    name=value

### Sections

Section declarations start with *[* and end with *]* as in `[section1]` and
`[section2]` shown in the example below. The section declaration marks the
beginning of a section. All properties after the section declaration will be
associated with that section.

### Comments

All lines beginning with a semicolon *;* or a number sign *#* are considered
to be comments. Comment lines are ignored when parsing INI files.

### Example File Format

A typical INI file might look like this:

    [section1]
    ; some comment on section1
    var1 = foo
    var2 = doodle
    var3 = multiline values \
    are also possible

    [section2]
    # another comment
    var1 = baz
    var2 = shoodle","MIT","",RubyGem,"http://rubygems.org/gems/inifile",
"hocon",1.2.5,"Chris Price, Wayne Warren, Preben Ingvaldsen, Joe Pinsonault, Kevin Corcoran, Jane Lu","== A port of the Java {Typesafe Config}[https://github.com/typesafehub/config] library to Ruby","Apache-2.0","JSON",RubyGem,"https://github.com/puppetlabs/ruby-hocon",
"diff-lcs",(1.3),"Austin Ziegler","Diff::LCS computes the difference between two Enumerable sequences using the
McIlroy-Hunt longest common subsequence (LCS) algorithm. It includes utilities
to create a simple HTML diff output format and a standard diff-like tool.

This is release 1.3, providing a tentative fix to a long-standing issue related
to incorrect detection of a patch direction. Also modernizes the gem
infrastructure, testing infrastructure, and provides a warning-free experience
to Ruby 2.4 users.","","Multi-license: MIT OR Artistic-1.0 OR GPL-2.0-or-later; GPL-2.0-only; GPL-3.0-only",RubyGem,"https://github.com/halostatue/diff-lcs",
"power_assert",1.1.4,"Kazuki Tsujimoto","Power Assert for Ruby. Power Assert shows each value of variables and method calls in the expression. It is useful for testing, providing which value wasn't correct when the condition is not satisfied.","Multi-license: Ruby&#39;s OR BSD-2-Clause","BSD-2-Clause; BSD-3-Clause; Ruby",RubyGem,"https://github.com/k-tsj/power_assert",
"facter",(2.5.7),"Puppet","You can prove anything with facts!","Apache-2.0","MIT; Multi-license: Ruby OR GPL-2.0-or-later",RubyGem,"https://github.com/puppetlabs/facter",
"deep_merge",(1.2.1),"Steve Midgley","Recursively merge hashes.","MIT","",RubyGem,"https://github.com/danielsdeleo/deep_merge",
"multi_json",(1.14.1),"Michael Bleigh, Josh Kalderimis, Erik Michaels-Ober, Pavel Pravosud","A common interface to multiple JSON libraries, including Oj, Yajl, the JSON gem (with C-extensions), the pure-Ruby JSON gem, NSJSONSerialization, gson.rb, JrJackson, and OkJson.","MIT","",RubyGem,"http://github.com/intridea/multi_json",
"data.json",0.2.3,"","Generating/parsing JSON from/to Clojure data structures","EPL-1.0","",Maven,"https://github.com/clojure/data.json",
"JSON in Java",20090211,"","
		JSON is a light-weight, language independent, data interchange format.
		See http://www.JSON.org/

		The files in this package implement JSON encoders/decoders in Java.
		It also includes the capability to convert between JSON and XML, HTTP
		headers, Cookies, and CDL.

		This is a reference implementation. There is a large number of JSON packages
		in Java. Perhaps someday the Java community will standardize on one. Until
		then, choose carefully.

		The license includes this restriction: ""The software shall be used for good,
		not evil."" If your conscience cannot live with that, then choose a different
		package.
	","provided without support or warranty","Apache-2.0",Maven,"https://github.com/douglascrockford/JSON-java",
"tools.reader",0.8.10,"","A Clojure reader in Clojure","Multi-license: EPL-1.0 OR PHP-3.0","PHP-3.0",Maven,"https://github.com/clojure/tools.reader",
"Guava: Google Core Libraries for Java",17.0,"","
    Guava is a suite of core and expanded libraries that include
    utility classes, google's collections, io classes, and much
    much more.

    Guava has only one code dependency - javax.annotation,
    per the JSR-305 spec.
  ","Apache-2.0","Public-Domain",Maven,"https://github.com/google/guava.git",
"Google Closure Library Third-Party Extensions",0.0-20140718-946a7d39,"Google, Inc., Mohamed Mansour, Bjorn Tipling, SameGoal LLC, Guido Tapia, Andrew Mattie, Ilia Mirkin, Ivan Kozik, Rich Dougherty","The Google Closure Library is a collection of JavaScript code
        designed for use with the Google Closure JavaScript Compiler.

        This non-official distribution was prepared by the ClojureScript
        team at http://clojure.org/

        This package contains extensions to the Google Closure Library
        using third-party components, which may be distributed under
        licenses other than the Apache license. Licenses for individual
        library components may be found in source-code comments.","Apache-2.0","",Maven,"http://code.google.com/p/closure-library/",
"Closure Compiler Externs",v20140625,"","null","Apache-2.0","",Maven,"",
"Joda-Time",2.6,"Adrian Acala, Afif Ahmed, Guy Allard, Brad Arndt, Mikey Austin, Oren Benjamin, Fredrik Borgh, Dave Brosius, Dan Cavallaro, Luc Claes, Emiliano Claria, Dan Cojocar, Evgeniy Devyatykh, dspitfire, Christopher Elkins, emopers, Michael Ernst, Jeroen van Erp, Gwyn Evans, Niklas Fiekas","Date and time library to replace JDK date handling","Apache-2.0","Public-Domain",Maven,"http://www.joda.org/joda-time/",
"Google Closure Library",0.0-20140718-946a7d39,"Google, Inc., Mohamed Mansour, Bjorn Tipling, SameGoal LLC, Guido Tapia, Andrew Mattie, Ilia Mirkin, Ivan Kozik, Rich Dougherty","The Google Closure Library is a collection of JavaScript code
        designed for use with the Google Closure JavaScript Compiler.

        This non-official distribution was prepared by the ClojureScript
        team at http://clojure.org/","Apache-2.0","",Maven,"http://code.google.com/p/closure-library/",
"nREPL",0.2.3,"","null","EPL-1.0","",Maven,"",
"ClojureScript",0.0-2665,"Aaron Bedra, Alan Dipert, Alan Malloy, Alen Ribic, Alex Redington, Bobby Calderwood, Brandon Bloom, Brenton Ashworth, Chris Houser, Christopher Redinger, Creighton Kirkendall, David Nolen, Devin Walters, Eric Thorsen, Frank Failla, Hubert Iwaniuk, Hugo Duncan, Jess Martin, John Li, Jonas Enlund","ClojureScript compiler and core runtime library.","Multi-license: EPL-1.0 OR PHP-3.0","Apache-2.0",Maven,"https://github.com/clojure/clojurescript",
"Mozilla Rhino",1.7R4,"","
      Rhino is an open-source implementation of JavaScript written entirely in Java. It is typically
      embedded into Java applications to provide scripting to end users.
  ","MPL-2.0","ATT-style; BSD-3-Clause",Maven,"https://developer.mozilla.org/en/Rhino",
"Closure Compiler",v20140625,"","Closure Compiler is a JavaScript optimizing compiler. It parses your
    JavaScript, analyzes it, removes dead code and rewrites and minimizes
    what's left. It also checks syntax, variable references, and types, and
    warns about common JavaScript pitfalls. It is used in many of Google's
    JavaScript apps, including Gmail, Google Web Search, Google Maps, and
    Google Docs.","Apache-2.0","Multi-license: MPL-1.1 OR GPL-2.0-only; Multi-license: GPL-2.0-only OR GPL-2.0-with-classpath-exception OR MPL-1.1",Maven,"https://developers.google.com/closure/compiler/",
"clj-time",0.9.0,"","A date and time library for Clojure, wrapping Joda Time.","MIT","",Maven,"https://github.com/clj-time/clj-time",
"serverspec",1.9.1,"Gosuke Miyashita","RSpec tests for your servers configured by Puppet, Chef, Itamae or anything else","MIT","",RubyGem,"http://serverspec.org/",
"beaker-rspec",2.0.0,"Puppetlabs","RSpec bindings for beaker, see https://github.com/puppetlabs/beaker","Apache-2.0","",RubyGem,"https://github.com/puppetlabs/beaker-rspec",
"rspec-puppet",1.0.1,"Tim Sharpe","RSpec tests for your Puppet manifests","MIT","",RubyGem,"https://github.com/rodjek/rspec-puppet/",
"rspec-its",1.0.0.pre,"Peter Alfvin","RSpec extension gem for attribute matching","MIT","",RubyGem,"https://github.com/rspec/rspec-its",
"specinfra",1.27.5,"Gosuke Miyashita","Common layer for serverspec and itamae","MIT","",RubyGem,"https://github.com/mizzy/specinfra",
"rspec",2.14.0,"Steven Baker, David Chelimsky, Myron Marston","BDD for Ruby","MIT","",RubyGem,"http://github.com/rspec",
"puppet-lint",0.3.2,"Tim Sharpe","Checks your Puppet manifests against the Puppetlabs
  style guide and alerts you to any discrepancies.","MIT","",RubyGem,"https://github.com/rodjek/puppet-lint/",
"fog-vmfusion",0.1.0,"Paulo Henrique Lopes Ribeiro","This library can be used as a module for `fog` or as standalone provider
                        to use the VMWARE FUSION in applications.","MIT","",RubyGem,"",
"rbvmomi",1.8.5,"Rich Lane, Christian Dickmann","Ruby interface to the VMware vSphere API","MIT","",RubyGem,"https://github.com/vmware/rbvmomi",
"fog-sakuracloud",1.7.5,"sawanoboly","Module for the 'fog' gem to support Sakura no Cloud","MIT","",RubyGem,"",
"fog-softlayer",1.1.4,"Matt Eldridge","Module for the 'fog' gem to support SoftLayer Cloud","MIT","",RubyGem,"https://github.com/fog/fog-softlayer",
"fog-riakcs",0.1.0,"Paulo Henrique Lopes Ribeiro","This library can be used as a module for `fog` or as standalone provider
                        to use the Riakcs in applications.","MIT","",RubyGem,"",
"launchy",2.4.3,"Jeremy Hinegardner","Launchy is helper class for launching cross-platform applications in a fire and forget manner. There are application concepts (browser, email client, etc) that are common across all platforms, and they may be launched differently on each platform. Launchy is here to make a common approach to launching external application from within ruby programs.","ISC","MIT",RubyGem,"http://github.com/copiousfreetime/launchy",
"rspec-mocks",2.99.4,"Steven Baker, David Chelimsky, Myron Marston","RSpec's 'test double' framework, with support for stubbing and mocking","MIT","",RubyGem,"https://github.com/rspec/rspec-mocks",
"fog-brightbox",0.16.1,"Paul Thornthwaite","Module for the 'fog' gem to support Brightbox Cloud","MIT","",RubyGem,"",
"serverspec",1.16.0,"Gosuke Miyashita","RSpec tests for your servers configured by Puppet, Chef, Itamae or anything else","MIT","",RubyGem,"http://serverspec.org/",
"fog-core",1.45.0,"Evan Light, Wesley Beary","Shared classes and tests for fog providers and services.","MIT","",RubyGem,"https://github.com/fog/fog-core",
"fog-terremark",0.1.0,"Paulo Henrique Lopes Ribeiro","                         This library can be used as a module for `fog` or
                         as standalone provider to use the Terremark vCloud in
                         applications.
","MIT","",RubyGem,"",
"rspec",2.99.0,"Steven Baker, David Chelimsky, Myron Marston","BDD for Ruby","MIT","",RubyGem,"http://github.com/rspec",
"fog-local",0.6.0,"Wesley Beary, Ville Lautanala","This library can be used as a module for `fog` or as standalone provider
                       to use local filesystem storage.","MIT","",RubyGem,"https://github.com/fog/fog-local",
"google-api-client",0.8.7,"Steven Bazyl, Tim Emiola, Sergio Gomes, Bob Aman","Client for accessing Google APIs","Apache-2.0","",RubyGem,"https://github.com/google/google-api-ruby-client",
"extlib",0.9.16,"Dan Kubb","Support library for Merb","MIT","",RubyGem,"http://github.com/datamapper/extlib",
"fog-radosgw",0.0.5,"Jon Kåre Hellan","Fog backend for provisioning users on Ceph Radosgw - the Swift and S3 compatible REST API for Ceph.","MIT","",RubyGem,"https://github.com/fog/fog-radosgw",
"fog",1.34.0,"geemus (Wesley Beary)","The Ruby cloud services library. Supports all major cloud providers including AWS, Rackspace, Linode, Blue Box, StormOnDemand, and many others. Full support for most AWS services including EC2, S3, CloudWatch, SimpleDB, ELB, and RDS.","MIT","Apache-2.0; GPL-3.0-only",RubyGem,"http://github.com/fog/fog",
"fog-dynect",0.0.3,"Wesley Beary, The fog team","This library can be used as a module for `fog` or as
                        standalone provider to use Dynect DNS in applications.","MIT","",RubyGem,"http://github.com/fog/fog-dynect",
"fog-aws",2.0.1,"Josh Lane, Wesley Beary","This library can be used as a module for `fog` or as standalone provider
                        to use the Amazon Web Services in applications..","MIT","",RubyGem,"https://github.com/fog/fog-aws",
"fog-voxel",0.1.0,"Paulo Henrique Lopes Ribeiro","This library can be used as a module for `fog` or as standalone provider
                        to use the Voxel in applications.","MIT","",RubyGem,"",
"rspec-its",1.0.1,"Peter Alfvin","RSpec extension gem for attribute matching","MIT","",RubyGem,"https://github.com/rspec/rspec-its",
"autoparse",0.3.3,"Bob Aman","An implementation of the JSON Schema specification. Provides automatic parsing
for any given JSON Schema.
","Apache-2.0","",RubyGem,"http://autoparse.rubyforge.org/",
"beaker-rspec",4.0.0,"Puppetlabs","RSpec bindings for beaker, see https://github.com/puppetlabs/beaker","Apache-2.0","",RubyGem,"https://github.com/puppetlabs/beaker-rspec",
"fog-storm_on_demand",0.1.1,"Paulo Henrique Lopes Ribeiro","This library can be used as a module for `fog` or as standalone provider
                        to use the StormOnDemand in applications.","MIT","",RubyGem,"",
"rspec-expectations",2.99.2,"Steven Baker, David Chelimsky, Myron Marston","rspec-expectations provides a simple, readable API to express expected outcomes of a code example.","MIT","",RubyGem,"https://github.com/rspec/rspec-expectations",
"retriable",1.4.1,"Jack Chu","Retriable is an simple DSL to retry failed code blocks with randomized exponential backoff. This is especially useful when interacting external api/services or file system calls.
","MIT","",RubyGem,"http://github.com/kamui/retriable",
"fog-profitbricks",4.1.1,"Ethan Devenport","This library can be used as a module for 'fog' or as
                        standalone ProfitBricks provider.","MIT","",RubyGem,"https://github.com/fog/fog-profitbricks",
"aws-sdk-v1",1.67.0,"Amazon Web Services","Version 1 of the AWS SDK for Ruby. Available as both `aws-sdk` and `aws-sdk-v1`.
Use `aws-sdk-v1` if you want to load v1 and v2 of the Ruby SDK in the same
application.","Apache-2.0","",RubyGem,"http://aws.amazon.com/sdkforruby",
"fog-atmos",0.1.0,"Paulo Henrique Lopes Ribeiro","This library can be used as a module for `fog` or as standalone provider
                        to use the Atmos in applications.","MIT","",RubyGem,"",
"fog-serverlove",0.1.2,"Paulo Henrique Lopes Ribeiro","This library can be used as a module for `fog` or as standalone provider
                        to use the ServerLove in applications.","MIT","",RubyGem,"",
"beaker-hiera",0.1.1,"Puppetlabs","For use for the Beaker acceptance testing tool","Apache-2.0","",RubyGem,"https://github.com/puppetlabs/beaker-hiera",
"fog-powerdns",0.2.0,"Chris Luo","This library can be used as a module for 'fog' or as a standalone provider to use PowerDNS DNS services in applications.","MIT","",RubyGem,"http://github.com/cluobah/fog-powerdns",
"rspec-core",2.99.2,"Steven Baker, David Chelimsky, Chad Humphries, Myron Marston","BDD for Ruby. RSpec runner and example groups.","MIT","",RubyGem,"https://github.com/rspec/rspec-core",
"fog-google",0.0.9,"Nat Welch, Artem Yakimenko","This library can be used as a module for `fog` or as standalone provider
                        to use the Google in applications.","MIT","",RubyGem,"https://github.com/fog/fog-google",
"dry-inflector",0.2.0,"Luca Guidi, Andrii Savchenko, Abinoam P. Marques Jr.","String inflections for dry-rb","MIT","",RubyGem,"http://dry-rb.org",
"fog-xml",0.1.3,"Wesley Beary (geemus), Paul Thornthwaite (tokengeek), The fog team","Extraction of the XML parsing tools shared between a
                          number of providers in the 'fog' gem","MIT","",RubyGem,"https://github.com/fog/fog-xml",
"fog-ecloud",0.3.0,"Paulo Henrique Lopes Ribeiro","This library can be used as a module for `fog` or as standalone provider
                        to use the Terremark EnterpriseCloud in applications.","MIT","",RubyGem,"",
"jnr-x86asm",1.0.2,"","A pure-java X86 and X86_64 assembler","MIT","",Maven,"http://github.com/jnr/jnr-x86asm",
"hiera",3.5.0,"Puppet Labs","A pluggable data store for hierarcical data","Apache-2.0","",RubyGem,"https://github.com/puppetlabs/hiera",
"puppet-resource_api",1.8.6,"David Schmitt","null","Apache-2.0","Multi-license: MIT OR Apache-2.0",RubyGem,"https://github.com/puppetlabs/puppet-resource_api",
"method_source",(1.0.0),"John Mair (banisterfiend)","retrieve the sourcecode for a method","MIT","",RubyGem,"http://banisterfiend.wordpress.com",
"minitar",0.8,"Austin Ziegler","Archive::Tar::Minitar is a pure-Ruby library and command-line utility that provides the ability to deal with POSIX tar(1) archive files. The implementation is based heavily on Mauricio Ferna'ndez's implementation in rpa-base, but has been reorganised to promote reuse in other projects. Antoine Toulme forked the original project on rubyforge to place it on github, under http://www.github.com/atoulme/minitar","Multi-license: Ruby OR BSD-2-Clause","GPL-3.0-only; BSD-3-Clause",RubyGem,"http://www.github.com/atoulme/minitar",
"puppet-resource_api",(1.8.12),"David Schmitt","null","Apache-2.0","Multi-license: MIT OR Apache-2.0",RubyGem,"https://github.com/puppetlabs/puppet-resource_api",
"analytics-client",1.0.2,"","A library for submitting metrics to the trapperkeeper analytics service.","EPL-1.0","",Maven,"https://github.com/puppetlabs/analytics-client",
"nokogiri",1.9.1,"Aaron Patterson, Mike Dalessio, Yoko Harada, Tim Elliott, Akinori MUSHA, John Shahid, Lars Kanis","Nokogiri (鋸) is an HTML, XML, SAX, and Reader parser.  Among
Nokogiri's many features is the ability to search documents via XPath
or CSS3 selectors.","MIT","Multi-license: Apache-2.0 OR LGPL-2.0-only OR Zlib OR BSD-3-Clause OR MIT",RubyGem,"http://nokogiri.org",
"puppet",6.8.1,"Puppet Labs","Puppet, an automated configuration management tool","Apache-2.0","Multi-license: MIT OR GPL-2.0-or-later OR Apache-2.0 OR BSD-3-Clause; MIT; GPL-2.0-only; SPL-1.0; Multi-license: Ruby OR GPL-2.0-or-later; BSD-3-Clause; CC-BY-4.0",RubyGem,"https://github.com/puppetlabs/puppet",
"Legion of the Bouncy Castle Java Cryptography APIs",140,"","
		The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. The package is organised
		so that it contains a light-weight API suitable for use in any environment (including the newly released J2ME) 
		with the additional infrastructure to conform the algorithms to the JCE framework.
	","Bouncy Castle License","MIT; UnclassifiedLicense, Non-commercial!",Maven,"http://www.bouncycastle.org/java.html",
"pcp-client",1.3.1,"","client library for PCP","Apache-2.0","",Maven,"https://github.com/puppetlabs/clj-pcp-client",
"pcp-broker",1.5.6,"","PCP fabric messaging broker","Apache-2.0","",Maven,"https://github.com/puppetlabs/pcp-broker",
"pcp-common",1.3.1,"","Common protocol components for PCP","Apache-2.0","",Maven,"https://github.com/puppetlabs/clj-pcp-common",
"Jackson-dataformat-Smile",2.8.6,"","Support for reading and writing Smile (""binary JSON"")
encoded data using Jackson abstractions (streaming API, data binding,
tree model)","","",Maven,"http://github.com/FasterXML/jackson-dataformat-smile",
"SLF4J API Module",1.7.25,"","The slf4j API","MIT","",Maven,"http://www.slf4j.org",
"Jackson dataformat: CBOR",2.8.6,"","Support for reading and writing Concise Binary Object Representation
([CBOR](https://www.rfc-editor.org/info/rfc7049)
encoded data using Jackson abstractions (streaming API, data binding, tree model)","Apache-2.0","",Maven,"http://github.com/FasterXML/jackson-dataformats-binary",
"PostgreSQL JDBC Driver - JDBC 4.1",42.2.0,"","Java JDBC 4.1 (JRE 7+) driver for PostgreSQL database","BSD-3-Clause","Apache-2.0; Public-Domain; Custom License File",Maven,"",
"SLF4J LOG4J-12 Binding",1.7.25,"","SLF4J LOG4J-12 Binding","MIT","",Maven,"http://www.slf4j.org",
"Jackson-core",2.8.6,"","Core Jackson abstractions, basic JSON streaming API implementation","Apache-2.0","",Maven,"https://github.com/FasterXML/jackson-core",
"tools.logging",0.4.1,"","null","EPL-1.0","PHP-3.01",Maven,"",
"cheshire",5.7.1,"","JSON and JSON SMILE encoding, fast.","MIT","",Maven,"https://github.com/dakrone/cheshire",
"kitchensink",2.3.0,"","Clojure utility functions","Apache-2.0","",Maven,"https://nexus.pentaho.org/content/groups/omni/puppetlabs/kitchensink",
"rspec-puppet",2.6.9,"Tim Sharpe","RSpec tests for your Puppet manifests","","",RubyGem,"https://github.com/rodjek/rspec-puppet/",
"specinfra",2.82.15,"Gosuke Miyashita","Common layer for serverspec and itamae","MIT","",RubyGem,"https://github.com/mizzy/specinfra",
"rspec-core",3.5.4,"Steven Baker, David Chelimsky, Chad Humphries, Myron Marston","BDD for Ruby. RSpec runner and example groups.","MIT","",RubyGem,"https://github.com/rspec/rspec-core",
"rspec-expectations",3.5.0,"Steven Baker, David Chelimsky, Myron Marston","rspec-expectations provides a simple, readable API to express expected outcomes of a code example.","MIT","",RubyGem,"https://github.com/rspec/rspec-expectations",
"rspec-mocks",3.5.0,"Steven Baker, David Chelimsky, Myron Marston","RSpec's 'test double' framework, with support for stubbing and mocking","MIT","",RubyGem,"https://github.com/rspec/rspec-mocks",
"rspec",3.5.0,"Steven Baker, David Chelimsky, Myron Marston","BDD for Ruby","MIT","",RubyGem,"http://github.com/rspec",
"rspec-support",3.5.0,"David Chelimsky, Myron Marson, Jon Rowe, Sam Phippen, Xaviery Shay, Bradley Schaefer","Support utilities for RSpec gems","MIT","",RubyGem,"https://github.com/rspec/rspec-support",
"pry-remote",0.1.8,"Mon ouie","Connect to Pry remotely using DRb","Zlib","",RubyGem,"http://github.com/Mon-Ouie/pry-remote",
"puppet-lint",1.1.0,"Tim Sharpe","Checks your Puppet manifests against the Puppetlabs
  style guide and alerts you to any discrepancies.","MIT","",RubyGem,"https://github.com/rodjek/puppet-lint/",
"json_pure",1.8.3,"Florian Frank","This is a JSON implementation in pure Ruby.","Ruby","Multi-license: GPL-3.0-only OR Ruby; BSD-3-Clause; MIT",RubyGem,"http://flori.github.com/json",
"rspec-expectations",3.4.0,"Steven Baker, David Chelimsky, Myron Marston","rspec-expectations provides a simple, readable API to express expected outcomes of a code example.","MIT","",RubyGem,"https://github.com/rspec/rspec-expectations",
"coderay",1.1.1,"Kornelius Kalnbach","Fast and easy syntax highlighting for selected languages, written in Ruby. Comes with RedCloth integration and LOC counter.","MIT","",RubyGem,"http://coderay.rubychan.de",
"puppet",4.5.2,"Puppet Labs","Puppet, an automated configuration management tool","Multi-license: MIT OR Apache-2.0","Apache-2.0; Multi-license: GPL-2.0-or-later OR BSD-3-Clause OR Ruby OR Apache-2.0 OR MIT; MIT; GPL-2.0-only; SPL-1.0; Multi-license: Ruby OR GPL-2.0-or-later; BSD-3-Clause; CC-BY-4.0",RubyGem,"https://github.com/puppetlabs/puppet",
"diff-lcs",1.2.5,"Austin Ziegler","Diff::LCS computes the difference between two Enumerable sequences using the
McIlroy-Hunt longest common subsequence (LCS) algorithm. It includes utilities
to create a simple HTML diff output format and a standard diff-like tool.

This is release 1.3, providing a tentative fix to a long-standing issue related
to incorrect detection of a patch direction. Also modernizes the gem
infrastructure, testing infrastructure, and provides a warning-free experience
to Ruby 2.4 users.","GPL-2.0-only; MIT; Artistic-1.0","Ruby",RubyGem,"https://github.com/halostatue/diff-lcs",
"rspec-puppet",2.4.0,"Tim Sharpe","RSpec tests for your Puppet manifests","","",RubyGem,"https://github.com/rodjek/rspec-puppet/",
"binding_of_caller",0.7.2,"John Mair (banisterfiend)","Retrieve the binding of a method's caller. Can also retrieve bindings even further up the stack.","MIT","BSD-2-Clause",RubyGem,"http://github.com/banister/binding_of_caller",
"rspec-support",3.4.1,"David Chelimsky, Myron Marson, Jon Rowe, Sam Phippen, Xaviery Shay, Bradley Schaefer","Support utilities for RSpec gems","MIT","",RubyGem,"https://github.com/rspec/rspec-support",
"facter",2.4.6,"Puppet","You can prove anything with facts!","","GPL-2.0-only; Ruby; MIT; Apache-2.0",RubyGem,"https://github.com/puppetlabs/facter",
"hiera",3.2.0,"Puppet Labs","A pluggable data store for hierarcical data","Apache-2.0","",RubyGem,"https://github.com/puppetlabs/hiera",
"rspec",3.4.0,"Steven Baker, David Chelimsky, Myron Marston","BDD for Ruby","MIT","",RubyGem,"http://github.com/rspec",
"rake",11.2.2,"Hiroshi SHIBATA, Eric Hodel, Jim Weirich","Rake is a Make-like program implemented in Ruby. Tasks and dependencies are
specified in standard Ruby syntax.

Rake has the following features:

* Rakefiles (rake's version of Makefiles) are completely defined in
  standard Ruby syntax.  No XML files to edit.  No quirky Makefile
  syntax to worry about (is that a tab or a space?)

* Users can specify tasks with prerequisites.

* Rake supports rule patterns to synthesize implicit tasks.

* Flexible FileLists that act like arrays but know about manipulating
  file names and paths.

* A library of prepackaged tasks to make building rakefiles easier. For example,
  tasks for building tarballs and publishing to FTP or SSH sites.  (Formerly
  tasks for building RDoc and Gems were included in rake but they're now
  available in RDoc and RubyGems respectively.)

* Supports parallel execution of tasks.","MIT","",RubyGem,"https://github.com/ruby/rake",
"rspec-mocks",3.4.1,"Steven Baker, David Chelimsky, Myron Marston","RSpec's 'test double' framework, with support for stubbing and mocking","MIT","",RubyGem,"https://github.com/rspec/rspec-mocks",
"rspec-core",3.4.4,"Steven Baker, David Chelimsky, Chad Humphries, Myron Marston","BDD for Ruby. RSpec runner and example groups.","MIT","",RubyGem,"https://github.com/rspec/rspec-core",
"debug_inspector",0.0.2,"John Mair (banisterfiend)","A Ruby wrapper for the MRI 2.0 debug_inspector API","MIT","",RubyGem,"https://github.com/banister/debug_inspector",
"pry-stack_explorer",0.4.9.2,"John Mair (banisterfiend)","Walk the stack in a Pry session","MIT","",RubyGem,"https://github.com/pry/pry-stack_explorer",
"puppet-syntax",2.1.0,"Vox Pupuli","Syntax checks for Puppet manifests and templates","MIT","",RubyGem,"https://github.com/voxpupuli/puppet-syntax",
"pry",0.10.3,"John Mair (banisterfiend), Conrad Irwin, Ryan Fitzgerald","An IRB alternative and runtime developer console","MIT","CNRI-Python",RubyGem,"http://pryrepl.org",
"hocon",0.9.5,"Chris Price, Wayne Warren, Preben Ingvaldsen, Joe Pinsonault, Kevin Corcoran, Jane Lu","== A port of the Java {Typesafe Config}[https://github.com/typesafehub/config] library to Ruby","Apache-2.0","JSON",RubyGem,"https://github.com/puppetlabs/ruby-hocon",
"i18n",0.4.3,"","Clojure i18n library","Apache-2.0","",Maven,"http://github.com/puppetlabs/clj-i18n",
"Jackson-annotations",2.5.0,"","Core annotations used for value types, used by Jackson data binding package.
  ","Apache-2.0","",Maven,"http://github.com/FasterXML/jackson",
"Jackson-core",2.7.5,"","Core Jackson abstractions, basic JSON streaming API implementation","Apache-2.0","",Maven,"https://github.com/FasterXML/jackson-core",
"Jackson-dataformat-Smile",2.7.5,"","Support for reading and writing Smile (""binary JSON"")
encoded data using Jackson abstractions (streaming API, data binding,
tree model)","Apache-2.0","",Maven,"http://github.com/FasterXML/jackson-dataformat-smile",
"SLF4J API Module",1.7.21,"","The slf4j API","MIT","",Maven,"http://www.slf4j.org",
"Logback Core Module",1.1.3,"","logback-core module","Multi-license: LGPL-2.1-only OR EPL-1.0","Multi-license: LGPL-2.1-only OR EPL-1.0",Maven,"",
"jackson-databind",2.5.4,"","General data-binding functionality for Jackson: works on core streaming API","Apache-2.0","",Maven,"http://github.com/FasterXML/jackson",
"Jackson dataformat: CBOR",2.7.5,"","Support for reading and writing Concise Binary Object Representation
([CBOR](https://www.rfc-editor.org/info/rfc7049)
encoded data using Jackson abstractions (streaming API, data binding, tree model)","Apache-2.0","",Maven,"http://github.com/FasterXML/jackson-dataformats-binary",
"Logstash Logback Encoder",4.6,"Neil Prosser, John E. Vincent","Logback encoder which will output events as Logstash-compatible JSON","Multi-license: MIT OR Apache-2.0","Apache-2.0",Maven,"https://github.com/logstash/logstash-logback-encoder",
"cheshire",5.6.3,"","JSON and JSON SMILE encoding, fast.","MIT","",Maven,"https://github.com/dakrone/cheshire",
"clojure",1.6.0,"","Clojure core environment and runtime library.","","CPL-1.0; BSD-3-Clause; PHP-3.0; Apache-2.0",Maven,"http://clojure.org/",
"useful",0.9.0,"","A collection of generally-useful Clojure utility functions","EPL-1.0","",Maven,"https://github.com/flatland/useful",
